MSOA,park,road,station,squar,garden
E02000039,0.027540192905176883,0.023303240150534286,0.16312268105374,0.06355429131963895,0.03177714565981948
E02000040,0.04611292947791082,0.01574587835831101,0.06410821903026626,0.0449882238808886,0.010122350373199935
E02000041,0.08867272795232617,0.14778787992054362,0.6892289309021716,0.03493168070849213,0.01209173562986266
E02000042,0.08508538900752688,0.12182680698804985,0.05027772986808406,0.21851474904205767,0.036741417980522974
E02000043,0.10008046924129248,0.02919013686204364,0.21684101668946704,0.07089033237924884,0.01668007820688208
E02000044,0.02444073464648767,0.11813021745802374,0.2403338906904621,0.08146911548829223,0.004617389996766598
E02000045,0.04516289586877877,0.2107601807209676,0.025090497704877094,0.16559728485218883,0.06272624426219274
E02000046,0.28737893090119665,0.0834325928422829,0.2317572023396747,0.201628766035517,0.03476358035095121
E02000047,0.4678865838367947,0.25291166693880796,0.2756328615531825,0.10748745844899338,0.07067509270594423
E02000048,0.20437906161364855,0.034170631752439666,0.0022565511534629965,0.009670933514841414,0.0031335063657300212
E02000049,0.10504126893915096,0.016585463516708046,0.002764243919451341,0.016585463516708046,0.0
E02000050,0.006495482785155124,0.11591938508892222,0.010492702960635201,0.017987490789660342,0.016488533223855316
E02000051,0.6000184683440416,0.3439596315348009,0.00764354736744002,0.17197981576740046,0.0382177368372001
E02000052,0.0500366026189988,0.06831920742209452,0.1809015633148418,0.12028029475720865,0.017320362445038047
E02000053,0.008117359790899349,0.003722106440705067,0.004892389044659298,0.008434134807129567,0.0007630331537542024
E02000054,0.20078396875069418,0.006864409188057921,0.017161022970144803,0.07207629647460817,0.0051483068910434405
E02000055,0.022361114235660694,0.02934896243430466,0.07127605162616846,0.08385417838372759,0.07966146946454122
E02000056,0.091168951349166,0.13675342702374899,0.2518542281020711,0.13903265080747815,0.4079810572875178
E02000057,0.4400167479849778,0.05327557038383139,0.03157070837560379,0.013812184914326658,0.04340972401645521
E02000058,0.030496870071239215,0.08178706064559609,0.00831732820124706,0.6168685082591568,0.2536785101380353
E02000059,0.11109237880147442,0.2163377902976081,0.11898651061777164,0.03508180383204455,0.005846967305340759
E02000060,0.0250048728053197,0.07657742296629158,0.40476637853611264,0.09845668667094631,0.07970303206695654
E02000061,0.2875946620852346,0.0982277543037597,0.16405047625988733,0.08168768570965583,0.05603370176778045
E02000062,0.01687482979111208,0.03128017229571996,0.0588561136616836,0.03210333472455469,0.017697992219946817
