,code,tw_count,sentiment,age_0-15_perc,age_16-29_perc,age_30-44_perc,age_45-64_perc,age_65_perc,qual_4min,hh_1p_perc,hh_cpl_perc,hh_cpl_kids_perc,BAME_perc,house_price_2012,tweets_ihs,h_prices_ihs
770,E02000479,233,1.145922746781116,18.13375953,21.28104254,24.61273666,23.46938776,12.50307352,20.08851733,35.2791159,21.87588552,18.58883536,15.37988689,214250.0,6.144190239078273,12.968046017025419
771,E02006930,749,1.1201602136181574,15.15012955,25.77351014,32.58649596,18.1679622,8.321902149,44.90169182,32.75382476,23.50486787,15.85535466,22.08504801,371000.0,7.311886609708871,13.517104522151334
772,E02000542,7104,0.9565033783783784,19.83822903,25.71306939,25.46828438,18.48659004,10.49382716,27.82034908,24.03663929,16.80353759,20.68856601,72.61600681,240000.0,9.561560470185702,13.081541382888414
773,E02000698,334,1.2724550898203593,21.21289662,12.58955988,26.07471853,25.0383828,15.08444217,46.3024565,29.179910999999997,24.03051494,26.73235855,17.84800409,605000.0,6.50429041455604,14.006130917573607
774,E02000651,2076,1.159922928709056,19.25270632,22.38389012,27.37748807,21.3944826,9.591432895,33.31393319,32.3024055,17.12485682,16.7812142,45.19846351,272000.0,8.331345482853374,13.20670452584146
775,E02000012,184,1.2065217391304348,23.30097087,22.30987055,21.14684466,21.39967638,11.84263754,19.02305825,24.27869859,18.69244936,24.21731123,56.10841424,260000.0,5.908090322302644,13.161584090561309
776,E02000595,5443,1.2618041521219916,14.02264357,17.58286728,27.40417406,24.63511117,16.35520393,48.0698404,49.79983987,18.25460368,12.06298372,17.13272405,900000.0,9.295232847432608,14.403297222866701
777,E02000416,938,1.17590618336887,18.30440587,20.9212283,31.69559413,20.2670227,8.811748999,39.17222964,37.59745885,21.25324863,12.82125325,33.87182911,319000.0,7.536897413707329,13.366093562329384
778,E02000681,404,1.1534653465346536,23.52359773,17.86508525,22.52285644,24.53669385,11.55176674,19.22411663,33.29253366,14.6878825,16.64626683,50.02470966,217500.0,6.694563590230153,12.983101310076107
779,E02000764,1611,1.2116697703289883,15.41508639,17.05857564,27.25663717,22.71386431,17.55583649,42.35988201,39.59521619,21.69273229,16.85372585,30.19806153,276000.0,8.077757660064103,13.221303325262515
780,E02000286,268,1.1753731343283582,13.92498161,17.52880608,23.41260113,25.56999265,19.56361853,33.14537877,39.86538959,22.62490293,15.24721719,19.20813925,250000.0,6.284137641783304,13.122363377408329
781,E02000010,100,1.17,27.10388857,19.00174115,23.29657574,20.29019153,10.30760302,12.66395821,27.36938032,15.58323208,21.08140948,30.79512478,163000.0,5.298342365610589,12.694652660358255
782,E02000935,1038,1.1560693641618498,19.95620438,34.56934307,19.40145985,15.83941606,10.23357664,19.12408759,34.80551053,9.805510535,14.38411669,35.88321168,249950.0,7.638198476316319,13.122163357405663
