MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000019,61,0.4613688205212876,375,0.3117484458402897,459,0.29439163822293324,422,0.276101396284015,448,0.2618799490119542
E02000020,49,0.7920413465367719,434,0.3142619764771521,15,0.31364725612739486,375,0.2517653828282916,39,0.12098126308290001
E02000021,175,0.6758873736874471,122,0.3068553234845768,448,0.2097412804901776,263,0.20563310587742584,378,0.15698655151308938
E02000022,448,0.543114959879732,29,0.3449665704286708,384,0.25081611370721985,378,0.22738071440317226,445,0.19353409587745868
E02000023,448,0.42666563504626426,378,0.29273701387557544,370,0.26627553359141504,393,0.26513042835875544,445,0.24692861841666275
E02000024,62,0.37887684311344044,378,0.3032587911528092,384,0.29746465261668126,374,0.2578081993810857,448,0.2527565142349922
E02000025,149,0.37080247530853194,261,0.3388976989763025,384,0.2044514477853705,157,0.19150119085249764,53,0.1848340928161981
E02000026,329,0.38645047385638726,378,0.3343880041205383,171,0.2498826570043261,375,0.22681056959560134,236,0.22011691202720243
E02000027,296,0.7705072546857916,378,0.23371182691162604,122,0.20171588253974426,105,0.1988214220950164,319,0.18776461159722313
E02000028,357,0.5006444695418677,384,0.43308486385883277,322,0.3090540687569993,378,0.25974359052332785,76,0.23205872604557015
E02000029,53,0.7842011640786005,107,0.31976607711485355,416,0.2645504857126598,130,0.18930720023107095,448,0.1541615844068541
E02000030,448,0.3747788886054488,375,0.30470490182846033,378,0.2696723280438454,141,0.2677323693503143,60,0.25608018929067927
E02000031,357,0.30115134947030675,448,0.280753614791744,442,0.27711045532277107,378,0.2682608420868455,261,0.2564307307748421
E02000032,159,0.7919463896071043,102,0.4225201556548132,103,0.1583716186492539,445,0.1489978428337907,329,0.11453081981032766
E02000033,378,0.4292173124776205,448,0.35309908023170095,384,0.3208602132157821,15,0.19119783131262202,147,0.18173658627509182
E02000034,281,0.35022912916189336,333,0.3451681806656529,384,0.2874142702606763,62,0.2158270036623817,392,0.18856137161641986
E02000035,439,0.38399881469124075,102,0.33282680643579676,448,0.3017927535061787,151,0.2511986349089003,375,0.2507146789835736
E02000036,357,0.4986532789671659,448,0.28411120870667805,7,0.2772070115882841,28,0.22223397611792026,378,0.21682036427942708
