MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000053,107,0.6206172070568073,316,0.36913471737926634,387,0.36421605135122015,424,0.35843484418691507,317,0.2363019491304162
E02000054,131,0.835962546708146,58,0.24611233281777772,378,0.17841493203370914,165,0.17645789900142553,448,0.16189503091947682
E02000055,392,0.3345496125351749,35,0.3000840720423002,58,0.29925223641882825,378,0.2903638146531706,448,0.2903638146531706
E02000056,105,0.4202210386205687,448,0.3119822862486041,378,0.29288132994766913,384,0.2737803736467342,392,0.21011051931028435
E02000057,378,0.3520343990737936,448,0.2934394240653772,384,0.27380453261295057,144,0.23524210034887877,415,0.23468959938252906
E02000058,278,0.8497672578834913,105,0.42005579731817416,448,0.11633032999877736,384,0.10028359125163618,378,0.09460716155814733
E02000059,229,0.7313614232267583,378,0.2802754645902035,382,0.22267265429719615,102,0.14013773229510176,384,0.14013773229510176
E02000060,193,0.6892978530113699,151,0.313317205914259,252,0.3019028219534644,363,0.25576851622470337,124,0.21956568869342866
E02000061,363,0.6539291133913823,165,0.38785148175996675,102,0.29137657773561587,448,0.1914395134328041,236,0.17900837619690774
E02000062,193,0.7773656695366489,57,0.42269238472910914,382,0.3456499303696163,378,0.09475775055538783,448,0.09168039710549646
E02000063,50,0.49215243987279333,236,0.47111954741097817,178,0.4568431974894334,125,0.2453338837927989,282,0.20272335024608665
E02000064,236,0.4043215649994492,136,0.3613086325526993,30,0.2860477130802976,378,0.27528276765919946,384,0.27528276765919946
E02000065,141,0.5887718294931261,448,0.3810014220917034,445,0.38045005404972315,378,0.1727206446815722,193,0.16938571364566607
E02000066,170,0.7181031509323447,181,0.5277148726923754,125,0.3484955897518477,124,0.26087599638747366,242,0.0668080074293368
E02000067,167,0.4223810914422242,353,0.2518481173528846,448,0.2415202238486592,15,0.2213935385279376,378,0.2213935385279376
E02000068,448,0.4832739021660766,378,0.3049786761242231,341,0.21273244625913565,415,0.211139083470616,19,0.20175512420525527
E02000069,161,0.6712523800731244,448,0.4019177080543074,149,0.30333281405421847,53,0.3001535032847304,370,0.15131019597338632
E02000070,170,0.7825225166081032,181,0.451450805073709,204,0.12568660002575147,116,0.11172142224511243,104,0.10217298323536605
E02000071,353,0.65584219795411,384,0.4185607456510003,29,0.41089747720133163,6,0.1635754638176323,378,0.15395337771071277
E02000072,378,0.43648201260515407,448,0.27482200793657846,103,0.2463427630025157,15,0.24249000700286336,384,0.24249000700286336
E02000073,304,0.7180991406199515,45,0.39995938070915915,158,0.30389718862850296,102,0.1381350857402286,191,0.12306442483358744
E02000074,16,0.9643678261496972,61,0.11193592678669079,415,0.10015319765124965,448,0.10015319765124965,4,0.08247910394808795
E02000075,182,0.49337635135389935,448,0.4725809996022282,181,0.2605109191979449,370,0.2362904998011141,371,0.22820028036342427
E02000077,149,0.4439893160589898,376,0.3499587595751653,256,0.31058714490624845,64,0.208003830697906,122,0.208003830697906
E02000078,231,0.4694371391586226,378,0.43884133878644277,376,0.3047223534889305,448,0.2925608925242952,64,0.2839128492084883
E02000079,418,0.47365725963200755,378,0.27655476681838687,224,0.27437141042160323,392,0.25848181056162045,448,0.2392283565729604
E02000080,392,0.42289943959702975,415,0.3571150823263807,378,0.35709177145200344,10,0.2961052050158697,448,0.23556429362318762
E02000081,163,0.49863145682050625,149,0.4787060628404826,294,0.3519751459909456,378,0.33638804415817697,24,0.2058258699802068
E02000082,363,0.3955150223379695,33,0.3940912946193255,3,0.3709094537593652,124,0.23381415490527524,329,0.2289823813535613
E02000083,378,0.4731056448159571,96,0.42259458061431415,53,0.3083103163423363,448,0.29801930382107533,15,0.2495911669501506
E02000084,102,0.5273265720399258,392,0.28402260406838814,448,0.269259882088424,378,0.24625155958468234,15,0.18157943282506878
E02000085,61,0.840849094154636,245,0.20478202177345287,16,0.16792418730166242,20,0.13114412887171722,122,0.13114412887171722
E02000086,150,0.6482801134204508,314,0.6340507085472787,378,0.1573447741536836,149,0.13372262961530396,58,0.10596886469372754
E02000087,445,0.9252943094681323,384,0.1409265882155873,378,0.1372179937888613,234,0.13222966190427138,448,0.1168207244418684
E02000088,128,0.5164194966515528,378,0.36911498572656787,4,0.2292169273620587,102,0.20506388095920436,125,0.19535861738406018
E02000089,6,0.6430522730997468,179,0.2482752023689049,329,0.2127529854303409,445,0.18572164055043267,259,0.17930864326295246
E02000090,139,0.3968246535234657,150,0.34547087483219363,448,0.2794756566288035,378,0.2731239371599671,144,0.23342626677850922
E02000091,378,0.4214081278169201,448,0.3079520934046724,96,0.2899504383335297,75,0.2166154858130143,139,0.2057847115223636
E02000092,181,0.3765995652581327,378,0.3669571821636559,448,0.3488358398345865,282,0.20411544469177606,14,0.17777545633206257
E02000093,14,0.77987930055643,248,0.2621394927616908,86,0.2298385587827077,145,0.2298385587827077,26,0.1456330515342727
E02000094,163,0.7184843105842741,130,0.6654251836056688,448,0.07066462126785863,91,0.06824517447241228,198,0.06480803564354774
E02000095,126,0.6405507428647346,306,0.342525483978889,384,0.20772847248536414,378,0.19289072445069527,206,0.16122075753951778
E02000096,57,0.3365605959834427,144,0.3365605959834427,382,0.2595245300607871,32,0.24803157288970612,358,0.24568139216314747
E02000097,157,0.4090151404843686,370,0.40000741753828667,451,0.39943257945266053,448,0.3024737585372503,102,0.2520614654477086
E02000098,447,0.7162398667324011,102,0.3801287340458942,382,0.25071180675971866,3,0.23877314929497018,126,0.16815135737742018
E02000099,191,0.48625271624441235,384,0.3219602452956596,102,0.24613993159111758,75,0.21930612326358218,357,0.19691194527289405
E02000100,296,0.6159767885460578,291,0.41459976152138506,131,0.4122671906820589,102,0.3019830547910902,257,0.17476543952826412
E02000101,378,0.3318101777825232,384,0.27485491558721015,124,0.24388108278049095,106,0.22328086508718942,15,0.22120678518834883
E02000102,382,0.4950935151874616,88,0.43377919286546857,105,0.4290810464958001,20,0.19803740607498463,364,0.16503117172915388
E02000103,102,0.6231549845901483,299,0.2897647646167804,384,0.2700338266557309,130,0.20952221441521046,272,0.20515699267985554
E02000104,102,0.5377059151137448,20,0.48990983377030084,151,0.47846340960271433,124,0.46003728293064833,196,0.08223589852546652
E02000105,18,0.3675194162364563,382,0.3447612719014859,445,0.3315828884605018,282,0.2858484348505771,364,0.2551310774238494
E02000106,178,0.9527899233972942,340,0.15304278704338217,124,0.11699442724809349,151,0.09527899233972942,430,0.09087248746158952
E02000107,107,0.6751732095577617,379,0.4810416325766063,191,0.22109676170121506,378,0.17687740936097204,268,0.16705088661869583
E02000108,19,0.3810815891329215,448,0.3048652713063372,96,0.28588662385881863,191,0.2858111918496911,378,0.2858111918496911
E02000109,196,0.8749250409710582,334,0.37809022958426297,357,0.13115263340327382,378,0.1196762925913211,375,0.079168283816349
E02000110,105,0.8045844057172881,165,0.35380686897520197,151,0.2776826340861025,124,0.2690383751934944,363,0.20763468534639692
E02000111,114,0.8043005318361851,136,0.2476040305447501,61,0.1965111353529763,20,0.16174001461614124,378,0.15470784006761337
E02000112,415,0.32004215232855077,448,0.2807916996844832,363,0.26186155094943947,378,0.25965684056844685,206,0.25298488820539067
E02000113,278,0.626303141173865,236,0.4555046111652884,375,0.3163226466425614,286,0.2879583179501463,136,0.2319699408712117
E02000114,26,0.4738815027690294,45,0.40637268900884915,191,0.2839042073897439,363,0.2672039598962296,448,0.2282367157446961
E02000115,124,0.42070254337083207,136,0.31283009635267,448,0.26968111754540514,151,0.263426122819618,45,0.23847588732253436
E02000116,102,0.448928600723664,378,0.4366850934312004,363,0.4288149887847977,448,0.18365260938695344,445,0.1591655948020263
E02000117,96,0.9103273533436197,149,0.18027592540611165,378,0.17263979659620968,191,0.12331414042586405,224,0.0996261693033775
E02000118,196,0.8810523870553588,448,0.18155999768632927,124,0.1609281797674282,60,0.15716069606933428,378,0.14442272543230736
E02000119,205,0.7055674053079614,170,0.24919850603283542,378,0.24373855317226661,357,0.2187397272058803,102,0.20936516746848544
E02000120,164,0.46474337497541396,1,0.4378934197666063,40,0.2749943317687343,378,0.24470514634016233,227,0.23791752276837866
E02000121,136,0.6289269823109216,378,0.30281669518674004,375,0.24070045002022925,15,0.20964232743697386,53,0.1848281239565282
E02000122,102,0.5463312738767166,45,0.5105062723110304,12,0.3073028092456061,147,0.3045125133083339,322,0.18158802364513085
E02000123,103,0.3958709119571161,96,0.37245172864926557,384,0.2841829119005063,124,0.25679178786190326,448,0.22255288281364952
E02000124,102,0.4804805010934782,378,0.35100970738565473,448,0.3308698061422155,45,0.2546258942920528,384,0.23304742867408224
E02000125,19,0.6321217591084582,363,0.5638370011800754,384,0.20875625995248465,448,0.19900129453414425,375,0.18924632911580386
E02000126,102,0.8170146960460825,378,0.25409547963155676,448,0.19545806125504364,415,0.1290023204283288,384,0.12509315920322794
E02000127,150,0.35378032198499515,448,0.2747419798362091,384,0.25858068690466746,374,0.20151266171633667,295,0.1928280109547237
E02000128,30,0.7685090917562546,384,0.3037597660454934,448,0.19694314501850668,378,0.14353483450501336,375,0.14019681509792
E02000130,448,0.508785865735805,384,0.2459131684389724,124,0.22748488380049167,15,0.22047387515218214,445,0.21199411072325208
E02000131,201,0.9133209322100224,102,0.23442283141550163,378,0.12570499655613857,384,0.10464091605213696,448,0.09648707843768473
E02000132,448,0.42688919723304036,384,0.3406904170225226,378,0.28869750197490873,357,0.22986341389471404,392,0.1888163756992294
E02000133,448,0.5180721718050378,378,0.3118492684651684,415,0.23070751312815999,384,0.2137676437059622,4,0.1968704112026965
E02000134,448,0.3952081813249785,378,0.30299293901581686,231,0.2730968937348115,45,0.2585320186167568,384,0.2404183103060286
E02000135,268,0.5048716705542257,448,0.42183356684464907,262,0.32883089068992327,388,0.2956156492060927,45,0.21257754549651606
E02000136,180,0.37666586663164403,448,0.3592654608672484,20,0.30561859487732335,102,0.2853337529283271,364,0.264721918533762
E02000137,153,0.4979283179166687,180,0.38551866505358223,257,0.27177509793043386,378,0.21754149811893292,389,0.21754149811893292
E02000138,102,0.8949300112266844,20,0.15032945070474488,378,0.14328275770295998,448,0.12918937169939013,392,0.10100259969225048
E02000139,129,0.5122326680400276,448,0.5022149303721813,445,0.4671766794159827,384,0.20438979724449244,378,0.15767212930289415
E02000140,15,0.31693689764272487,392,0.2773197854373842,370,0.2743447019075198,378,0.23770267323204364,448,0.23770267323204364
E02000141,102,0.49476096765403876,447,0.46284090522474597,61,0.29526057747095863,448,0.2765675486503227,363,0.18354035896843374
E02000142,30,0.6899885767034056,319,0.23322404326720853,14,0.23096743190009192,329,0.1796413359222937,434,0.1796413359222937
