MSOA,park,road,station,hill,squar
E02000068,0.04360782319171781,0.07871744849997282,0.06792186534518327,0.0028219464401625133,0.009239302288164927
E02000069,0.3164404855653004,0.4644410195815845,0.07127472303127458,0.09653666705190947,0.009161437334199121
E02000070,0.08189359109858423,0.10775005510812219,0.006390187947693835,0.018243521894620286,0.0007247430284340866
E02000071,0.22784282223516686,0.3938915175984933,0.0,0.0,0.0
E02000072,0.04870804831179826,0.13553123963425134,0.08191642448888585,0.005778651735266812,0.013161611818317466
E02000073,0.02425252004923227,0.09317204664811571,0.0424869835884345,0.0,0.0
E02000074,0.16772566482944773,0.33138492335210673,0.07835510211724542,0.0,0.037768229429681575
E02000075,0.19929029967894363,0.31499914220560055,0.04189540884628115,0.02364351017904814,0.16155327432171399
E02000077,0.06118079300175704,0.10073191253568954,0.15005212984394514,0.0,0.0
E02000078,0.02644021860916125,0.07400583121056128,0.09727099603948136,0.005228048219348533,0.00446532844399738
E02000079,0.09445506563263525,0.27204483139810515,0.08949466700686928,0.0031566228386014153,0.08897140695229803
E02000080,0.33050102212611865,0.16598330067807412,0.18243069246711552,0.006571534980212511,0.08045033353291575
E02000081,0.07315888007624712,0.08541240369184533,0.0177946719763819,0.015063530333959999,0.008577274940236447
E02000082,0.11102393282040392,0.10967807909824266,0.4084462647339564,0.1317171728872926,0.045000383621545
E02000083,0.14360129713964845,0.218382814161599,0.04759980676079125,0.006362233777647049,0.026566455471642072
E02000084,0.23251992413732986,0.01179846021761761,0.005492251784859292,0.0,0.010589361503773187
E02000085,0.15075006847083045,0.01683473398613715,0.0013778754262467668,0.0031103944382504813,0.002656619100368938
E02000086,0.2824418483918704,0.04542154031021857,0.0,0.00779267174709045,0.2795435635972115
E02000087,0.02103898726422363,0.011639011196849663,0.004776709817445467,0.0019968277847538123,0.0035815723602654103
E02000088,0.5579963448726555,0.06485084759737189,0.18975594857849137,0.0,0.0
E02000089,0.00686810237895721,0.0949878426725957,0.021657498455374926,0.016296432768601706,0.006959473375553133
E02000090,0.11425842771740707,0.2316874330486576,0.35713578400746304,0.028537795875301558,0.07007645121570934
E02000091,0.08522584020274074,0.15111513124679274,0.029860722651945705,0.03370356415737334,0.0
E02000092,0.028207462582310397,0.013136605223133112,0.0,0.0033464921763095745,0.00408324649646127
