MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000353,174,0.747033268605081,102,0.49745530993942405,96,0.177524028313016,103,0.1718975836998166,247,0.14721490677939528
E02000354,446,0.656486047306258,0,0.357383526590509,136,0.27820932993045777,122,0.22102796567597632,97,0.15285018521871
E02000355,136,0.5459072221660769,266,0.42792917239662415,160,0.27385148480370636,214,0.20561308203294673,194,0.19394072366426418
E02000356,240,0.6985899623541172,363,0.2976262697787006,178,0.2533167408509727,105,0.20064692344631502,388,0.18810649073092034
E02000357,60,0.6121271831700676,102,0.2979421164482058,100,0.28012259722993166,136,0.2032689205674675,162,0.202669664980315
E02000358,40,0.633338831724005,84,0.5532041478130871,136,0.20469674071679386,14,0.1721992654570109,4,0.14904014515693567
E02000359,136,0.5113739632046633,103,0.323433104932864,97,0.24476018751676196,57,0.23601875224830615,361,0.20105301117448302
E02000360,35,0.5386774683549458,14,0.4449024640470822,0,0.32680236463680284,167,0.23302736032893925,434,0.23302736032893925
E02000361,103,0.3732427751326355,7,0.3009259051952454,158,0.2942577895236545,136,0.2776089935374477,157,0.2257266990688034
E02000362,102,0.7476281250008819,334,0.311131904935492,196,0.3059692230995779,60,0.24892214333338686,353,0.1752472207717094
E02000363,122,0.4786235291969345,157,0.42902523601590503,136,0.24179167925751874,84,0.2244322766441584,101,0.21451261800795252
E02000364,136,0.6201994452019092,142,0.5272029803873834,103,0.2709609226610283,192,0.16525271085746662,157,0.14986480660758106
E02000365,136,0.4978479507794221,157,0.39854317336331396,1,0.28268759971118784,103,0.2629921521903264,406,0.231619034682282
E02000366,388,0.6127405880676167,105,0.5993994244082906,102,0.1886821717533252,145,0.170576306787097,129,0.12261164696428202
E02000367,142,0.5865007053974766,103,0.3823881251049627,157,0.37364328232709454,192,0.33031656129129316,134,0.2567803833864926
E02000368,282,0.4760642394094101,97,0.4622251626823924,157,0.33545921986290994,136,0.2751208453331126,134,0.23692499356654365
E02000369,134,0.6143591316039768,136,0.2833433541878166,289,0.2483579468186289,122,0.23720875106361308,103,0.22490619023049213
E02000370,9,0.3975273857238716,136,0.35108914126871643,102,0.34028023954208547,97,0.29144001692545674,134,0.25661133358409033
