,gss_code,group,tw_count,tw_neg_count,tw_neg_ratio,sentiment,sent_vader,sentpos_tfidflr,shannon
354,E05000497,A,945,7,0.007407407407407408,1.2507936507936508,0.40720751322751325,0.7804384320172184,1.297218658638783
355,E05000506,A,372,3,0.008064516129032258,1.1935483870967742,0.33403790322580645,0.7760066366597991,0.5875009311062074
356,E05000507,C,166,2,0.012048192771084338,1.072289156626506,0.14248433734939758,0.8063548972854119,0.9492869007902891
357,E05000501,C,2096,28,0.013358778625954198,1.1626908396946565,0.3245712309160305,0.7599178290150654,0.7012565123592978
358,E05000508,C,1385,27,0.019494584837545126,1.1624548736462095,0.28601227436823107,0.743564043504617,0.35459882755264893
359,E05000514,C,1322,15,0.0113464447806354,1.2534039334341907,0.3880869894099849,0.775074793326481,0.6396406526889704
360,E05000512,C,274,7,0.025547445255474453,1.1605839416058394,0.31477518248175185,0.7094117590429335,0.3425415079719701
361,E05000513,F,1612,21,0.013027295285359801,1.2115384615384615,0.3187539081885856,0.7621762852630545,1.5722537008813218
362,E05000500,C,256,4,0.015625,1.12890625,0.199500390625,0.7118914332717937,0.3625010217396757
363,E05000499,F,2612,28,0.010719754977029096,1.198698315467075,0.3709878637059724,0.7618785041402366,1.3101931902419799
364,E05000496,C,446,1,0.002242152466367713,1.1300448430493275,0.23565941704035875,0.7691028893957371,0.6001660731596457
365,E05000504,C,112,4,0.03571428571428571,1.1517857142857142,0.25954732142857145,0.7137115005994765,1.1285447641522335
366,E05000498,C,139,2,0.014388489208633094,1.237410071942446,0.3680345323741007,0.7697231325823529,1.0232664231374122
367,E05000509,H,1614,23,0.014250309789343246,1.1951672862453533,0.3804650557620818,0.75288514735568,0.6365141682948128
368,E05000559,H,1231,6,0.00487408610885459,1.132412672623883,0.2825848090982941,0.7492370297819254,0.6193762897414465
369,E05000560,H,1324,10,0.0075528700906344415,1.061178247734139,0.35574199395770395,0.617726070015147,0.6277052571971504
370,E05000556,A,575,7,0.01217391304347826,1.1547826086956523,0.3250158260869565,0.7632363612122565,1.0619577325759786
371,E05000562,A,214,2,0.009345794392523364,1.144859813084112,0.2777766355140187,0.7031613980059631,0.47420812719914446
372,E05000571,A,1498,8,0.0053404539385847796,1.1088117489986649,0.346322696929239,0.680500477698507,0.5244480273578574
